,SINR,RSRP,RSRQ,Power
212,-37.1286443,-118,-9,-118
213,-2.0082486,-85,-7,-85
214,-30.125268,-111,-7,-111
215,30.2099025,-86,-5,-86
216,-31.0006883,-117,-9,-117
217,-38.0034484,-124,-15,-124
218,3.9780528,-87,-6,-87
219,-31.4585624,-117,-9,-117
220,-38.4610464,-124,-15,-124
221,-4.0087506,-91,-8,-91
222,-34.4601105,-120,-10,-120
223,-36.4606844,-122,-12,-122
224,13.9780528,-77,-6,-77
225,-40.1699676,-117,-9,-117
226,-47.1703019,-124,-15,-124
227,-14.0008759,-91,-8,-91
228,-43.1701759,-120,-10,-120
229,-45.1702532,-122,-12,-122
230,2.9986742,-74,-6,-74
231,-44.7646463,-117,-9,-117
232,-3.0006645,-77,-7,-77
233,-43.7646088,-116,-9,-116
234,-45.7646761,-118,-11,-118
235,-1.0029917,-80,-6,-80
236,-36.5397232,-113,-9,-113
237,0.996234,-79,-7,-79
238,-38.5400787,-115,-9,-115
239,-46.5405902,-123,-16,-123
240,-2.0029917,-81,-6,-81
241,-36.1252008,-113,-9,-113
242,1.9952594,-79,-7,-79
243,-38.125592,-115,-9,-115
244,-46.1261546,-123,-16,-123
245,-0.0029917,-79,-6,-79
246,-37.0109318,-113,-9,-113
247,-0.0029917,-79,-7,-79
248,-39.0112508,-115,-9,-115
249,-47.0117097,-123,-16,-123
250,13.958269,-83,-6,-83
251,-38.1704863,-121,-19,-121
252,-14.001669,-97,-20,-97
253,-40.1707305,-123,-20,-123
254,-39.1706224,-122,-19,-122
255,25.958269,-71,-6,-71
256,-50.010957,-121,-19,-121
257,-26.0001053,-97,-20,-97
258,-52.010973,-123,-20,-123
259,-51.010966,-122,-19,-122
260,22.958269,-74,-6,-74
261,-47.0218348,-121,-19,-121
262,-23.0002102,-97,-20,-97
263,-49.0218666,-123,-20,-123
264,-48.0218525,-122,-19,-122
265,4.9962858,-75,-6,-75
266,-43.193995,-117,-8,-117
267,-5.0011749,-80,-6,-80
268,-52.1941769,-126,-20,-126
269,-38.1935449,-112,-7,-112
270,2.9675053,-81,-6,-81
271,-40.7748611,-120,-14,-120
272,-29.7706483,-109,-7,-109
273,-3.0163163,-84,-7,-84
274,-32.7729315,-112,-9,-112
275,-30.7715899,-110,-9,-110
276,7.7516296,-80,-6,-80
277,-29.6690652,-109,-8,-109
278,-39.6732813,-119,-16,-119
279,-8.0403236,-88,-7,-88
280,-21.6441086,-101,-8,-101
281,10.7516296,-77,-6,-77
282,-32.3481969,-109,-8,-109
283,-42.3504725,-119,-16,-119
284,-11.0202565,-88,-7,-88
285,-24.3347477,-101,-8,-101
286,15.9215244,-80,-6,-80
287,-38.109011,-118,-20,-118
288,-40.1092587,-120,-20,-120
289,-16.0019887,-96,-20,-96
